,laptop_ID,Company,Product,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price_euros,Touchscreen,IPS,PPI,Cpu_brand,HDD,SSD,Gpu_brand,log_price
14,15,Apple,"MacBook 12""",Ultrabook,Intel Core M m3 1.2GHz,8,Intel HD Graphics 615,macOS,0.92,1262.4,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,7.1407699500916095
15,16,Apple,MacBook Pro,Ultrabook,Intel Core i5 2.3GHz,8,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,0,1,226.98300468106115,Intel Core i5,0,256,Intel,7.3255112111745335
16,17,Dell,Inspiron 3567,Notebook,Intel Core i7 7500U 2.7GHz,8,AMD Radeon R5 M430,Windows 10,2.2,745.0,0,0,141.21199808219862,Intel Core i7,0,256,AMD,6.61338421837956
17,18,Apple,MacBook Pro,Ultrabook,Intel Core i7 2.9GHz,16,AMD Radeon Pro 560,macOS,1.83,2858.0,0,1,220.53462386625827,Intel Core i7,0,512,AMD,7.957877358489813
18,19,Lenovo,IdeaPad 320-15IKB,Notebook,Intel Core i3 7100U 2.4GHz,8,Nvidia GeForce 940MX,No OS,2.2,499.0,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,6.212606095751519
19,20,Dell,XPS 13,Ultrabook,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.22,979.0,1,1,165.6321180513006,Intel Core i5,0,128,Intel,6.88653164253051
20,21,Asus,Vivobook E200HA,Netbook,Intel Atom x5-Z8350 1.44GHz,2,Intel HD Graphics 400,Windows 10,0.98,191.9,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,5.256974403013654
21,22,Lenovo,Legion Y520-15IKBN,Gaming,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,6.906754778648554
22,23,HP,255 G6,Notebook,AMD E-Series E2-9000e 1.5GHz,4,AMD Radeon R2,No OS,1.86,258.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,5.552959584921617
23,24,Dell,Inspiron 5379,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.62,819.0,1,0,165.6321180513006,Intel Core i5,0,256,Intel,6.70808408385307
24,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,Intel Core i7 8550U 1.8GHz,8,Intel HD Graphics 620,Windows 10,1.91,659.0,0,0,141.21199808219862,Intel Core i7,0,256,Intel,6.490723534502507
25,26,Dell,Inspiron 3567,Notebook,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,Windows 10,2.3,418.64,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,6.037011362063953
26,27,Apple,MacBook Air,Ultrabook,Intel Core i5 1.6GHz,8,Intel HD Graphics 6000,Mac OS X,1.35,1099.0,0,0,127.67794013309688,Intel Core i5,0,0,Intel,7.002155954403621
27,28,Dell,Inspiron 5570,Notebook,Intel Core i5 8250U 1.6GHz,8,AMD Radeon 530,Windows 10,2.2,800.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,6.684611727667927
28,29,Dell,Latitude 5590,Ultrabook,Intel Core i7 8650U 1.9GHz,8,Intel UHD Graphics 620,Windows 10,1.88,1298.0,0,0,141.21199808219862,Intel Core i7,0,512,Intel,7.168579897264035
29,30,HP,ProBook 470,Notebook,Intel Core i5 8250U 1.6GHz,8,Nvidia GeForce 930MX,Windows 10,2.5,896.0,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,6.79794041297493
30,31,Chuwi,"LapBook 15.6""",Notebook,Intel Atom x5-Z8300 1.44GHz,4,Intel HD Graphics,Windows 10,1.89,244.99,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,5.501217393385187
31,32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,AMD E-Series E2-6110 1.5GHz,2,AMD Radeon R2,Windows 10,1.65,199.0,0,0,111.93520355955211,AMD Processor,0,0,AMD,5.293304824724492
32,33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,AMD A6-Series 9220 2.5GHz,4,AMD Radeon 530,Windows 10,2.71,439.0,0,0,127.33567457123111,AMD Processor,500,0,AMD,6.0844994130751715
33,34,Dell,XPS 13,Ultrabook,Intel Core i7 8550U 1.8GHz,16,Intel UHD Graphics 620,Windows 10,1.2,1869.0,1,0,276.053530085501,Intel Core i7,0,512,Intel,7.533158807455563
34,35,Apple,MacBook Air,Ultrabook,Intel Core i5 1.6GHz,8,Intel HD Graphics 6000,Mac OS X,1.35,998.0,0,0,127.67794013309688,Intel Core i5,0,0,Intel,6.905753276311464
35,36,Lenovo,IdeaPad 120S-14IAP,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4,Intel HD Graphics 500,Windows 10,1.44,249.0,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,5.517452896464707
36,37,Acer,Aspire 3,Notebook,Intel Core i3 7130U 2.7GHz,4,Intel HD Graphics 620,Linux,2.1,367.0,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,5.905361848054571
37,38,Dell,Inspiron 5770,Notebook,Intel Core i5 8250U 1.6GHz,8,AMD Radeon 530,Windows 10,2.8,979.0,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,6.88653164253051
38,39,HP,250 G6,Notebook,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,Windows 10,1.86,488.69,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,6.191728341615349
39,40,HP,ProBook 450,Notebook,Intel Core i5 8250U 1.6GHz,8,Nvidia GeForce 930MX ,Windows 10,2.1,879.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,6.778784897685177
40,41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 620,Linux,2,389.0,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,5.963579343618446
41,42,Dell,Inspiron 7577,Gaming,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1060,Windows 10,2.65,1499.0,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,7.312553498102598
42,43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,Intel Core i5 7200U 2.5GHz,8,Nvidia GeForce 940MX,Linux,2.3,522.99,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,6.259562343423234
43,44,Acer,Aspire A515-51G,Notebook,Intel Core i5 8250U 1.6GHz,4,Intel UHD Graphics 620,Windows 10,2.2,682.0,0,1,141.21199808219862,Intel Core i5,0,256,Intel,6.525029657843462
44,45,Dell,Inspiron 7773,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,12,Nvidia GeForce 150MX,Windows 10,2.77,999.0,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,6.906754778648554
45,46,Apple,MacBook Pro,Ultrabook,Intel Core i5 2.0GHz,8,Intel Iris Graphics 540,macOS,1.37,1419.0,0,1,226.98300468106115,Intel Core i5,0,256,Intel,7.257707677160043
46,47,Lenovo,IdeaPad 320-15ISK,Notebook,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,No OS,2.2,369.0,0,0,100.45466986113651,Intel Core i3,0,128,Intel,5.910796644040527
47,48,Asus,Rog Strix,Gaming,AMD Ryzen 1700 3GHz,8,AMD Radeon RX 580,Windows 10,3.2,1299.0,0,0,127.33567457123111,AMD Processor,1000,256,AMD,7.1693500166706
48,49,Dell,Inspiron 3567,Notebook,Intel Core i5 7200U 2.5GHz,4,AMD Radeon R5 M430,Windows 10,2.3,639.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,6.459904454377535
49,50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4,Nvidia GeForce 920MX,Windows 10,2.8,466.0,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia,6.144185634125646
50,51,Lenovo,Yoga Book,2 in 1 Convertible,Intel Atom x5-Z8550 1.44GHz,4,Intel HD Graphics 400,Android,0.69,319.0,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,5.765191102784844
51,52,Acer,Aspire A515-51G,Notebook,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce MX150,Windows 10,2.2,841.0,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,6.734591659972948
52,53,HP,255 G6,Notebook,AMD A6-Series 9220 2.5GHz,4,AMD Radeon R4 Graphics,Windows 10,1.86,398.49,0,0,141.21199808219862,AMD Processor,0,256,AMD,5.987682403812522
53,54,HP,ProBook 430,Notebook,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,Windows 10,1.49,1103.0,0,0,165.6321180513006,Intel Core i7,0,512,Intel,7.005789019253503
54,55,Acer,Aspire 3,Notebook,Intel Core i3 7100U 2.4GHz,4,Intel HD Graphics 620,Windows 10,2.4,384.0,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,5.950642552587727
55,56,Dell,Inspiron 3576,Notebook,Intel Core i7 8550U 1.8GHz,8,AMD Radeon 520,Windows 10,2.13,767.8,0,0,141.21199808219862,Intel Core i7,0,256,AMD,6.643529282566697
56,57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,Windows 10,1.91,439.0,0,0,141.21199808219862,Intel Core i3,0,128,Intel,6.0844994130751715
57,58,Asus,VivoBook Max,Notebook,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,Windows 10,2,586.19,0,0,100.45466986113651,Intel Core i5,0,256,Intel,6.373643969107062
58,59,MSI,GS73VR 7RG,Gaming,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1070,Windows 10,2.43,2449.0,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia,7.803435056952168
59,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,Linux,2,415.0,0,0,141.21199808219862,Intel Core i3,0,256,Intel,6.028278520230698
60,61,Dell,Inspiron 5770,Notebook,Intel Core i7 8550U 1.8GHz,16,AMD Radeon 530,Windows 10,2.8,1299.0,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,7.1693500166706
61,62,Dell,Vostro 5471,Ultrabook,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.7,879.0,0,0,157.3505121487356,Intel Core i5,0,256,Intel,6.778784897685177
62,63,Lenovo,IdeaPad 520S-14IKB,Notebook,Intel Core i3 7130U 2.7GHz,8,Intel HD Graphics 620,No OS,1.7,599.0,0,1,157.3505121487356,Intel Core i3,0,256,Intel,6.395261598115449
63,64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.4,941.0,0,0,157.3505121487356,Intel Core i5,0,256,Intel,6.846943139585379
64,66,HP,250 G6,Notebook,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,Windows 10,1.86,690.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel,6.536691597591305
65,67,Asus,ZenBook Pro,Ultrabook,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1983.0,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,7.592366128519796
66,68,HP,250 G6,Notebook,Intel Core i3 6006U 2GHz,4,AMD Radeon 520,Windows 10,1.86,438.69,0,0,100.45466986113651,Intel Core i3,500,0,AMD,6.083793013291897
67,69,HP,Stream 14-AX040wm,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4,Intel HD Graphics 400,Windows 10,1.44,229.0,0,0,111.93520355955211,Other Intel Processor,0,32,Intel,5.43372200355424
68,70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,Windows 10,1.9,549.0,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,6.3080984415095305
69,71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,Intel Core i7 7700HQ 2.8GHz,12,Nvidia GeForce GTX 1050 Ti,Linux,3,949.0,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,6.855408798609928
70,72,Microsoft,Surface Laptop,Ultrabook,Intel Core i5 7200U 2.5GHz,4,Intel HD Graphics 620,Windows 10 S,1.252,1089.0,1,0,200.84255993695703,Intel Core i5,0,128,Intel,6.9930151229329605
71,73,Dell,Inspiron 5370,Ultrabook,Intel Core i7 8550U 1.8GHz,8,AMD Radeon 530,Windows 10,1.4,955.0,0,1,165.6321180513006,Intel Core i7,0,256,AMD,6.86171134048073
72,74,Dell,Inspiron 5570,Notebook,Intel Core i7 8550U 1.8GHz,8,AMD Radeon 530,Windows 10,2.2,870.0,0,0,141.21199808219862,Intel Core i7,0,256,AMD,6.76849321164863
73,75,MSI,GL72M 7RDX,Gaming,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1050,Windows 10,2.7,1095.0,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,6.9985096422506015
74,76,Acer,Aspire E5-475,Notebook,Intel Core i3 6006U 2GHz,8,Intel HD Graphics 520,Windows 10,2.1,389.0,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,5.963579343618446
75,77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,Intel Core i7 7700HQ 2.8GHz,8,Nvidia GeForce GTX 1050,Windows 10,2.2,949.0,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,6.855408798609928
76,78,Lenovo,IdeaPad 320-15IKBN,Notebook,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,No OS,2.2,519.0,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,6.251903883165888
77,79,Dell,Inspiron 5570,Notebook,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,Windows 10,2.02,855.0,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,6.75110146893676
78,80,Acer,Aspire A515-51G-32MX,Notebook,Intel Core i3 7130U 2.7GHz,4,Nvidia GeForce MX130,Windows 10,2.2,530.0,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,6.272877006546167
79,81,HP,ProBook 470,Notebook,Intel Core i5 8250U 1.6GHz,8,Nvidia GeForce 930MX,Windows 10,2.5,977.0,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,6.884486652042782
80,82,Dell,Latitude 5590,Ultrabook,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.88,1096.16,0,1,141.21199808219862,Intel Core i5,0,256,Intel,6.999568442254589
81,83,Apple,"MacBook 12""",Ultrabook,Intel Core i5 1.3GHz,8,Intel HD Graphics 615,macOS,0.92,1510.0,0,1,226.41554716935852,Intel Core i5,0,512,Intel,7.31986492980897
82,84,HP,ProBook 440,Notebook,Intel Core i5 8250U 1.6GHz,8,Intel HD Graphics 620,Windows 10,1.63,860.0,0,0,157.3505121487356,Intel Core i5,0,256,Intel,6.756932389247553
83,85,Lenovo,IdeaPad 320-15AST,Notebook,AMD A6-Series 9220 2.5GHz,4,AMD R4 Graphics,Windows 10,2.2,399.0,0,0,141.21199808219862,AMD Processor,0,128,AMD,5.988961416889864
84,86,Acer,Aspire 3,Notebook,AMD A9-Series 9420 3GHz,4,AMD Radeon R5,Windows 10,2.1,395.0,0,0,100.45466986113651,AMD Processor,1000,0,AMD,5.978885764901122
85,87,Dell,Inspiron 7577,Gaming,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1349.0,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,7.207118856207756
86,88,HP,Pavilion 15-CK000nv,Ultrabook,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce GTX 940MX,Windows 10,1.83,699.0,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,6.54965074223381
87,89,HP,250 G6,Notebook,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,Windows 10,1.96,598.99,0,0,141.21199808219862,Intel Core i5,0,256,Intel,6.395244903485277
88,90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1060,Windows 10,2.2,1449.0,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,7.278628942320682
89,91,Dell,XPS 13,Ultrabook,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,Windows 10,1.21,1649.0,0,1,165.6321180513006,Intel Core i7,0,256,Intel,7.407924322559599
90,92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,AMD FX 9830P 3GHz,8,AMD Radeon RX 560,Windows 10,2.45,699.0,0,0,141.21199808219862,AMD Processor,1000,0,AMD,6.54965074223381
91,93,Acer,Aspire 5,Notebook,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce MX150,Windows 10,2.2,689.0,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,6.535241271013659
92,94,HP,Probook 430,Notebook,Intel Core i7 8550U 1.8GHz,16,Intel UHD Graphics 620,Windows 10,1.49,1197.0,0,0,165.6321180513006,Intel Core i7,0,512,Intel,7.087573705557973
93,95,Dell,Inspiron 7577,Gaming,Intel Core i5 7300HQ 2.5GHz,8,Nvidia GeForce GTX 1060,Windows 10,2.65,1195.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,7.085901464365611
94,96,Asus,Zenbook UX430UA,Ultrabook,Intel Core i7 7500U 2.7GHz,8,Intel HD Graphics 620,Windows 10,1.25,1049.0,0,0,157.3505121487356,Intel Core i7,0,256,Intel,6.955592608396297
95,97,Acer,Spin 5,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.5,847.0,1,1,165.6321180513006,Intel Core i5,0,256,Intel,6.741700694652055
96,98,Dell,Inspiron 3567,Notebook,Intel Core i7 7500U 2.7GHz,8,AMD Radeon R5 M430,Linux,2.2,599.9,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,6.3967629746590475
97,99,Dell,Inspiron 3567,Notebook,Intel Core i3 6006U 2GHz,4,AMD Radeon R5 M430,Linux,2.2,485.0,0,0,141.21199808219862,Intel Core i3,0,256,AMD,6.184148890937483
98,100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,Intel Core i3 7100U 2.4GHz,6,Nvidia GeForce 920M,Windows 10,2,577.0,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,6.3578422665081
99,102,HP,Omen 15-ce007nv,Gaming,Intel Core i7 7700HQ 2.8GHz,12,Nvidia GeForce GTX 1050,Windows 10,2.62,1249.0,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,7.130098510125578
100,103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,Intel Core i7 7500U 2.7GHz,8,AMD Radeon 530,Windows 10,1.91,719.0,0,0,141.21199808219862,Intel Core i7,0,256,AMD,6.577861357721047
101,104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,AMD E-Series E2-9000e 1.5GHz,4,AMD Radeon R2,Windows 10,2.1,349.0,0,0,141.21199808219862,AMD Processor,500,0,AMD,5.855071922202427
102,105,Dell,Inspiron 3576,Notebook,Intel Core i5 8250U 1.6GHz,8,AMD Radeon 520,Linux,2.2,647.0,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,6.472346294500901
103,106,HP,Envy 13-ad009n,Ultrabook,Intel Core i7 7500U 2.7GHz,8,Nvidia GeForce MX150,Windows 10,1.38,1119.0,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,7.020190708311925
104,107,Microsoft,Surface Laptop,Ultrabook,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,Windows 10 S,1.252,1340.0,1,0,200.84255993695703,Intel Core i5,0,256,Intel,7.200424892944957
105,108,HP,Pavilion 14-BK001nv,Notebook,Intel Core i5 7200U 2.5GHz,6,Nvidia GeForce 940MX,Windows 10,1.58,659.0,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,6.490723534502507
106,109,Lenovo,Ideapad 310-15ISK,Notebook,Intel Core i3 6006U 2GHz,4,Intel HD Graphics 520,Windows 10,1.85,414.9,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,6.028037527338822
107,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,Intel Core i7 7500U 2.7GHz,8,Nvidia GeForce 940MX,Windows 10,1.3,1193.0,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,7.084226422097916
108,111,MSI,GP62M 7REX,Gaming,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1299.0,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,7.1693500166706
109,112,Lenovo,Thinkpad T470,Notebook,Intel Core i7 7500U 2.7GHz,8,Intel HD Graphics 620,Windows 10,1.58,1480.0,0,1,157.3505121487356,Intel Core i7,0,256,Intel,7.299797366758161
110,113,Asus,VivoBook S15,Ultrabook,Intel Core i7 8550U 1.8GHz,16,Nvidia GeForce MX150,Windows 10,1.5,1262.0,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,7.140453043101158
111,114,Dell,XPS 13,Ultrabook,Intel Core i7 7560U 2.4GHz,8,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,1,0,276.053530085501,Intel Core i7,0,256,Intel,7.229113877793302
112,115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8,Intel HD Graphics 620,Windows 10,1.37,1399.0,1,1,165.6321180513006,Intel Core i5,0,256,Intel,7.243512974665482
113,116,HP,Probook 440,Notebook,Intel Core i5 8250U 1.6GHz,4,Intel UHD Graphics 620,Windows 10,1.63,722.0,0,1,111.93520355955211,Intel Core i5,500,0,Intel,6.582025138892826
114,117,Dell,XPS 13,Ultrabook,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.21,1629.0,0,1,165.6321180513006,Intel Core i5,0,256,Intel,7.395721608602045
115,118,HP,Spectre x360,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8,Intel UHD Graphics 620,Windows 10,1.26,1398.99,1,1,165.6321180513006,Intel Core i5,0,256,Intel,7.2435058266771035
116,119,HP,Probook 440,Notebook,Intel Core i7 8550U 1.8GHz,8,Intel UHD Graphics 620,Windows 10,1.63,1084.0,0,0,157.3505121487356,Intel Core i7,0,512,Intel,6.988413181999592
117,120,Dell,Inspiron 7570,Notebook,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce 940MX,Windows 10,2.16,1130.33,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,7.030264904470579
118,121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,Intel Core i3 6006U 2GHz,4,Nvidia GeForce 920MX,Windows 10,2,564.0,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia,6.335054251498059
119,122,Asus,VivoBook S15,Notebook,Intel Core i7 8550U 1.8GHz,8,Nvidia GeForce 940MX,Windows 10,1.7,1118.0,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,7.0192966537150445
120,123,Acer,Spin 3,Notebook,Intel Core i3 7100U 2.4GHz,6,Intel HD Graphics 620,Windows 10,2.1,479.0,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,6.171700597410915
121,124,MSI,GS63VR 7RG,Gaming,Intel Core i7 7700HQ 2.8GHz,16,Nvidia GeForce GTX 1070,Windows 10,1.8,2241.5,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,7.714900563595494
122,125,Lenovo,IdeaPad 320-15IKBN,Notebook,Intel Core i5 7200U 2.5GHz,8,Nvidia GeForce 940MX,No OS,2.2,629.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,6.444131256700441
123,126,HP,Probook 470,Notebook,Intel Core i7 8550U 1.8GHz,16,Nvidia GeForce 930MX ,Windows 10,2.5,1271.0,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia,7.147559271189454
124,127,Acer,Aspire 3,Notebook,AMD A9-Series 9420 3GHz,4,AMD Radeon R5,Windows 10,2.1,451.0,0,0,100.45466986113651,AMD Processor,0,256,AMD,6.111467339502679
